30 30																													
7 0	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 
7 0 	7 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0 	8 3	9 0	9 0 	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0	5 0	9 0 	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0 	5 0	5 0	9 0 	8 3	8 3	8 3	8 3	8 3	8 3	45 22	45 22	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	8 3	8 3	38 21	39 22	39 22	39 22	39 22	39 22	40 21	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	8 3	8 3	38 22	39 22	39 22	39 22	39 22	39 22	40 22	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	8 3	8 3	38 22	39 22	39 22	39 22	39 22	39 22	40 22	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	8 3	8 3	38 22	39 22	39 22	39 22	39 22	39 22	40 22	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	8 3	8 3	38 22	39 22	39 22	39 22	39 22	39 22	40 22	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	8 3	8 3	38 22	39 22	39 22	39 22	39 22	39 22	40 22	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	8 3	8 3	38 22	39 22	39 22	39 22	39 22	39 22	40 22	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	45 22	8 3	8 3	8 3	8 3	8 3	38 22	39 22	39 22	39 22	39 22	39 22	40 22	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	45 22	8 3	8 3	8 3	8 3	8 3	38 22	39 22	39 22	45 22	45 22	39 22	40 22	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	8 3	8 3	38 23	39 23	39 23	39 23	39 23	39 23	40 23	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	45 22	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0	5 0 	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	45 22	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 
7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 
41 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	42 18
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	39 8	19 10	20 10	20 10	20 10	20 10	21 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	39 8	19 11	20 11 	20 11 	20 11	20 11	21 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	39 8	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	39 8	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19
43 19	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	0 5	0 5	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	46 18	43 18	43 18	43 18	42 18	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	27 9	27 9	27 10	27 11	27 9	27 10	27 9	27 10	27 9	27 10	27 11	0 5	0 5	43 19	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	2 0	3 0	3 0	3 0	4 0	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	2 1	3 1	3 1	3 1	4 1	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	2 1	3 1	3 1	3 1	4 1	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	2 1	3 1	3 1	3 1	4 1	0 5	0 5	0 5	0 5	41 18	43 18	43 18	43 18	43 18	43 18	0 5	0 5	43 18	43 18	42 19	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	2 2	3 2	3 2	3 2	4 2	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	17 21	18 22	18 22	19 22	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	53 22	17 22	45 2	18 22	19 22	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	53 22	17 22	18 22	45 2	19 22	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	53 22	17 22	18 22	18 22	19 22	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	17 23	28 8	29 8	19 23	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	41 18	43 18	43 18	43 18	43 18	0 5	0 5	43 18	43 18	43 18	42 19	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	51 14	52 14	0 5	0 5	0 5	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19
43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19	0 5	0 5	0 5	43 19	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	43 19
43 19	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	45 21	43 18	43 18	43 18	45 19	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	43 18	42 19
0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	16 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	16 10	16 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	16 11	16 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	16 10	16 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	16 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	16 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	16 10	16 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	16 10	0 5	0 5	55 24	56 24	0 5	0 5	16 10	16 11	16 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	16 11	0 5	0 5	55 24	0 5	0 5	0 5	16 11	16 10	16 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	13 10	13 10	0 5	0 5	0 5	0 5	0 5	13 10	16 11	16 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	20 21	25 21	25 21	21 21	0 5	0 5	0 5	0 5	0 5
0 5	0 5	13 11	13 11	0 5	48 10	49 10	0 5	0 5	13 11	16 10	16 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	20 22	25 22	25 22	21 22	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	0 5	0 5	48 11	49 11	0 5	0 5	13 10	16 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	20 22	25 22	25 22	21 22	0 5	0 5	0 5	0 5	0 5
0 5	0 5	13 10	0 5	0 5	0 5	0 5	0 5	13 10	13 11	13 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	20 23	0 5	0 5	21 23	0 5	0 5	0 5	0 5	0 5
0 5	0 5	13 11	0 5	13 10	0 5	0 5	13 10	13 11	0 5	13 11	0 5	16 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	0 5	13 11	13 10	0 5	13 11	0 5	13 10	0 5	0 5	16 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	13 10	13 10	13 11	13 10	13 10	0 5	13 11	0 5	13 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	13 10	13 11	13 11	13 10	13 11	13 11	13 10	0 5	0 5	13 11	16 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	13 11	13 10	0 5	13 11	0 5	13 10	13 11	0 5	0 5	0 5	16 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	13 11	0 5	0 5	13 10	13 11	0 5	13 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	13 10	0 5	13 10	13 10	13 11	0 5	0 5	13 11	13 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	13 11	0 5	13 11	13 11	0 5	0 5	13 10	0 5	13 11	13 10	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	13 10	0 5	13 10	0 5	13 10	13 11	0 5	13 10	13 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	13 11	0 5	13 11	0 5	13 11	0 5	0 5	13 11	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5	0 5
